product_name,brand,ingredients,product_tags,energy_kj,energy_kcal,protein,fat_total,fat_saturated,carbs_total,carbs_sugar,fiber,salt,price_per_100g,price_per_100g_protein,protein_type
Informed Whey Protein,Bulk,"mTOR Protein Complex, [['Whey Protein Isolate', ['Milk']], ['Whey Protein Concentrate', ['Milk']], 'Leucine'], Glutamine Peptides, ['Wheat'], Fat Reduced Cocoa Powder, Flavouring, Emulsifier, ['Soya Lecithin'], Thickener, ['Xanthan Gum'], DigeZyme® Enzyme Complex, ['Amylase', 'Protease', 'Cellulase', 'Lactase', 'Lipase'], Sweetener, ['Sucralose'], Bacillus Coagulans, ['LactoSpore®']","halal, Informed Sport, vegetarian, WPC, WPI, whey",1602,378,81.0,4.0,3.0,4.5,4.5,0,0.51,5.07,6.26,Animal-based
Dr. Formulated Plant & Sustainable Salmon MD Protein Mediterranean Diet Approved,Garden of Life,"Coconut Cream, ['Coconut Milk', 'Coconut Oil', 'Tapioca Maltodextrin'], Non-GMO Natural Flavors, Sunflower Lecithin, Potassium Bicarbonate, Sea Salt, Organic Stevia, ['Rebaudioside A from Stevia rebaudiana Leaf'], Malic Acid, Monk Fruit","vegetarian, soy free, gluten free",1280,306,54.0,0.0,0.0,27.0,0,,1,3.45,6.39,Animal-based
Elevation Premium Whey Protein Isolate,Arms Race Nutrition,"Cold-Processed Microfiltered Non-GMO Whey Protein Isolate, Cocoa Powder, Natural & Artificial Flavors, Gum Blend, ['Gum Acacia', 'Guar Gum', 'Xanthan Gum'], Sucralose, Sunflower Lecithin","vegetarian, soy free, gluten free, WPI, whey",1213,290,69.6,0.0,0.0,2.9,0,,1,4.47,6.48,Animal-based
100% Micellar Casein,ProteinWorks,"Micellar Casein, ['Milk'], Flavourings, Sweetener, ['Sucralose'], Colour, ['Curcumin']","vegetarian, soy free, gluten free",1504,355,80.0,1.5,0.9,5.7,4,0.2,0.1,5.21,6.51,Animal-based
Low Carb 100% Whey Protein Isolate,Isopure,"Whey Protein Isolate, Cocoa, ['Processed with Alkali'], Vitamin and Mineral Blend, ['Dicalcium Phosphate', 'Potassium Chloride', 'Magnesium Oxide', 'Ascorbic Acid', 'Sodium Chloride', 'Vitamin E Acetate', 'Zinc Sulfate', 'D-Biotin', 'Niacinamide', 'Silicon Dioxide', 'Calcium D-Pantothenate', 'Vitamin A Acetate', 'Copper Sulfate', 'Manganese Sulfate', 'Pyridoxine Hydrochloride', 'Riboflavin', 'Potassium Iodide', 'Phylloquinone', 'Thiamin Hydrochloride', 'Sodium Selenite', 'Cyanocobalamin', 'Chromium Chloride', 'Folic Acid', 'Sodium Molybdate'], Soy Lecithin, Xanthan Gum, Natural and Artificial Flavor, Sucralose","vegetarian, gluten free, WPI, whey",1243,297,67.5,1.35,0.0,2.7,0,,2,4.42,6.6,Animal-based
Pure Whey Isolate™,Bulk,"Whey Protein Isolate, ['Milk'], Soya Lecithin","vegetarian, halal, gluten free, WPI, whey",1532,361,87.0,0.5,0.0,2.0,2,0,0.5,5.8,6.67,Animal-based
Plant Based Active Protein,SunWarrior,"Organic Vanilla Flavor, Organic MCT Oil, Organic Coconut Milk Powder, Organic Guar Gum, Organic Stevia Leaf Extract, ['Steviol Glycosides'], Organic Cinnamon. Contains Coconut","vegetarian, soy free, gluten free",1548,370,60.0,2.0,0.0,0.02,0,,1,4.02,6.7,Plant-based
Clear Whey Isolate,Bulk,"Whey Protein Hydrolysate, ['Milk'], Flavouring, Acid, ['Citric Acid'], Anti-Foaming Agents, ['Polydimethylsiloxane', 'Silicon Dioxide'], Colour, ['Beta Carotene - Passionfruit Flavour; Beetroot Red - Passionfruit Flavour', 'Apple & Blackcurrant Flavour', 'Cherry Bomb Flavour; Grapeskin Extract - Apple & Blackcurrant Flavour', 'Cherry Bomb Flavour'], Sweetener, ['Sucralose']","vegetarian, GMO free, halal, soy free, gluten free, WPH, whey",1455,343,80.0,0.7,0.4,4.6,0.4,1.4,0.04,5.5,6.88,Animal-based
Whey Protein,Bare Performance Nutrition,"Whey Protein Concentrate, Native Micellar Casein, Natural Flavor, Salt, Sucralose, Xanthan Gum, Cellulose Gum, Guar Gum","vegetarian, soy free, gluten free, WPC, whey",1406,336,60.0,0.0,0.0,7.2,0,,1,4.17,6.95,Animal-based
PeptoPro®,Bulk,"Casein Hydrolysate, ['PeptoPro®']","vegetarian, halal, dairy free, lactose free, vegan, soy free, gluten free",1432,338,81.0,1.5,0.0,0.0,0,0,3.75,5.72,7.06,Animal-based
Whey Protein 360 Extreme,ProteinWorks,"Protein Blend [Whey Protein Concentrate, ['Milk'], Soy Protein Isolate, Milk Protein Concentrate, Hydrolysed Whey Protein, ['Milk'], ], Flavouring, TPW™ Vitamin & Mineral Blend, ['Tricalcium Phosphate', 'Vitamin C', 'Vitamin B5', 'Vitamin B6', 'Folic Acid', 'Vitamin B12'], L-Glutamine, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose'], DigeZyme®, ['Amylase', 'Protease', 'Cellulase', 'Beta-D-Galactosidase', 'Lipase'], Colour, ['Curcumin']","vegetarian, gluten free, WPC, whey",1607,389,78.0,4.1,2.0,6.8,3.8,0.6,1.1,5.53,7.09,Animal-based
Natural Pure Whey Isolate™,Bulk,"Whey Protein Isolate, ['Milk'], Natural Flavouring, Thickener, ['Xanthan Gum'], Sweetener, ['Steviol Gylcosides'], Emulsifier, ['Sunflower Lecithin']","vegetarian, halal, soy free, gluten free, WPI, whey",1526,360,81.0,1.0,0.5,5.0,1.4,3.4,0.62,5.8,7.16,Animal-based
Vegan Pea Protein Isolate,Blessed,"Raw Pea Protein Isolate, ['Sprouted'], Natural Flavor, Sunflower Creamer, ['Sunflower Oil', 'Maltodextrin', 'Brown Rice Syrup Solids', 'd-Alpha Tocopherol'], Inulin Fiber, Vegetable Gums, ['Gum Acacia', 'Xanthan Gum'], Stevia Leaf Extract, Salt, Psyllium Seed Powder, Cinnamon","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1464,350,57.5,1.25,0.0,15.0,0,,2,4.11,7.21,Plant-based
Smart Clear Whey Protein Powder,PhD Nutrition,"Whey Protein Hydrolysate, ['Milk'], Flavouring, Acid, ['Citric Acid', 'Phosphoric Acid'], Sweetener, ['Sucralose'], Sodium chloride, Colouring, ['Beta Carotene'], Anti Foaming Agent, ['Silicon Dioxide']","GMO free, palm oil free, soy free, vegetarian, gluten free, WPH, whey",1449,362,80.0,0.5,0.2,4.0,0,0.9,0.61,5.79,7.24,Animal-based
Clear Whey Isolate Mike and Ike Mega Mix,Myprotein,"Hydrolyzed Whey Protein, Maltodextrin, Citric Acid, Natural & Artificial Flavor, Sucralose, Sodium Chloride, Tripotassium Citrate, Malic Acid, Spirulina, ['For Color'], Pectin, Acesulfame Potassium, Magnesium Oxide, Monocalcium Phosphate, Silicon Dioxide.Contains Milk","vegetarian, soy free, gluten free, whey",1393,333,74.0,0.0,0.0,7.4,0,,1,5.42,7.32,Animal-based
Clear Whey Isolate Mike and Ike Sour,Myprotein,"Hydrolyzed Whey Protein, Natural & Artificial Flavor, Malic Acid, Citric Acid, Maltodextrin, Fruit & Vegetable Juice, ['For Color'], Salt, Sucralose, Pectin, Trisodium Citrate, Potassium Citrates, Acesulfame Potassium, Disodium Phosphate, Magnesium Oxide, Silicon Dioxide. Allergen Information: Contains Milk","vegetarian, soy free, gluten free, whey",1393,333,74.0,0.0,0.0,7.4,0,,0,5.42,7.32,Animal-based
CBUM Series Itholate Protein Powder,RAW,"Birthday Cake Blend, ['sugar', 'corn syrup', ['corn cereal', ['heat treated']], 'corn starch', 'hydrogenated palm oil', 'natural and artificial flavor', 'red nr40', 'yellow nr6', 'blue nr1', 'yellow nr5'], Natural & Artificial Flavors, Silicon, ['Anti-Foam'], Gum Blend, ['Gum Acacia', 'Guar Gum', 'Xanthan Gum'], Sucralose, Sodium Chloride, Sunflower Lecithin","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1456,348,81.2,2.9,0.0,11.6,5.8,,1,5.96,7.36,Unknown
Diet Whey Protein Isolate 90,ProteinWorks,"Whey Protein Isolate, ['Milk'], Flavouring, Sweetener, ['Sucralose'], Colour, ['Curcumin']","vegetarian, soy free, gluten free, WPI, whey",1534,367,89.0,0.2,,4.2,2.5,0.2,0.23,6.67,7.49,Animal-based
Warrior Blend Organic Non GMO Plant Based Vegan Protein,SunWarrior,"Proprietary Protein Blend, ['Organic Fermented Pea Protein', 'Organic Hemp Seed Protein', 'Organic Goji Berry'], Organic Medium-chain Triglycerides Oil, ['Coconut Oil', 'Acacia Gum']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1590,380,72.2,1.9,0.0,3.8,0,,3,5.42,7.53,Plant-based
Native Whey Isolate,Myprotein,"Native Whey Protein Isolate, ['Milk'], Flavour, Sweetener, ['Sucralose']","gluten free, vegetarian, soy free, WPI, whey",1625,383,86.0,1.9,0.4,6.0,4.6,,0,6.54,7.6,Animal-based
100% Natural Whey Protein Isolate,Isopure,"Ion Exchange Whey, ['milk'], Protein Isolate, Microfiltered Whey, ['milk'], Protein Isolate, soy lecithin","vegetarian, gluten free",1657,396,93.6,0.0,0.0,0.0,0,,2,7.1,7.63,Animal-based
Pure Whey Isolate™ 97,Bulk,"Whey Protein Isolate, ['Milk']","vegetarian, halal, soy free, gluten free, WPI, whey",1564,374,97.0,0.3,0.2,0.0,0,0,1.7,7.5,7.73,Animal-based
LIFE Complete Meal Replacement Powder,PhD Nutrition,"Pea protein Isolate, ['58%'], Oat flour, Flaxseed Powder, Vitamin and Mineral Complex, ['Potassium Chloride', 'Dicalcium Phosphate', 'Calcium', 'Magnesium Sulfate', 'Vitamin C', 'Zinc Sulfate', 'Ferric Pyrophosphate', 'Vitamin E Acetate', 'Potassium Iodide', 'Niacin', 'Sodium Selenite', 'Vitamin A Acetate', 'Pantothenic Acid', 'Copper Gluconate', 'Manganese Sulphate Monohydrate', 'Biotin', 'Vitamin B12', 'Vitamin D2', 'Vitamin B6', 'Thiamin', 'Riboflavin', 'Folic Acid', 'Vitamin K', 'Sodium Chloride'], Flavouring, Sunflower Oil Powder, Chicory Root Extract 90%, ['Inulin'], Baobab Fruit Powder, ['Adansonia Digitata'], Medium Chain Triglycerides, Stabiliser, ['Xanthan Gum', 'Guar Gum'], Reduced Fat Cocoa Powder, Matcha Green Tea Powder, CocoMineral™ Dried Coconut Water, Yeast, ['Saccharomyces cerevisiae'], Beta-Glucans, Lingonberry Fruit Juice Powder, ['Vaccinium vitis-Idaea'], KSM-66® Ashwagandha Root Extract, ['5% Withanolides'], LactoSpore®, ['Bacillus Coagulans'], DigeZyme®, ['Amylase', 'Lactase', 'Protease', 'Lipase', 'Cellulase'], Sweetener, ['Sucralose']","vegetarian, dairy free, lactose free, vegan, soy free",1753,417,50.0,10.0,1.9,27.0,1.7,9.3,1.62,3.88,7.76,Plant-based
Diet Whey Complex Extreme,ProteinWorks,"Protein Blend [Whey Protein Concentrate, ['Milk'], Soy Protein, Milk Protein Concentrate, Whey Protein Isolate, ['Milk'], ], Konjac Glucomannan, Flavouring, Microencapsulated Conjugated Linoleic Acid [Safflower Oil, Glucose Syrup, Sodium Caseinate, ['Milk'], Anti-Caking Agent, ['Silicon Dioxide'], Stabiliser, ['Tetrasodium Diphosphate'], Antioxidant, ['Vitamin E'], ], N-Acetyl L-Carnitine, Tri-Calcium Phosphate, Tea Blend, ['Matcha Green Tea', 'White Tea Extract', 'Black Tea Extract'], TPW™ Vitamin & Mineral Blend, ['Tricalcium Phosphate', 'Vitamin C', 'Vitamin B5', 'Vitamin B6', 'Folic Acid', 'Vitamin B12'], Sweetener, ['Sucralose'], Colour, ['Curcumin']","vegetarian, gluten free, WPC, WPI, whey",1546,371,77.0,3.9,1.7,6.8,3.6,3.3,1.1,6.04,7.84,Animal-based
Hydrolysed Whey Protein Isolate,Bulk,"Hydrolysed Whey Protein Isolate, ['Milk'], Sunflower Lecithin","vegetarian, halal, soy free, gluten free, WPI, whey",1532,361,81.0,1.0,0.5,5.0,1.4,3.4,0.62,6.4,7.9,Animal-based
Spirulina Powder,Bulk,Spirulina Powder,"vegetarian, vegan, halal, dairy free, lactose free, soy free, gluten free",1662,393,63.0,6.0,2.0,20.0,2.5,3.6,0.95,5.0,7.94,Plant-based
Raw Organic Protein Powder – Plant,Garden of Life,"RAW ORGANIC PROTEIN BLEND: Organic Pea Protein, Organic Sprouted Brown Rice Protein, Organic Amaranth Sprout, Organic Buckwheat Sprout, Organic Millet Sprout, Organic Cracked Wall Chlorella, Organic Quinoa Sprout, Organic Chia Seed Sprout, Organic Garbanzo Bean Sprout, Organic Lentil Sprout, Organic Adzuki Bean Sprout, Organic Flax Seed Sprout, Organic Sunflower Seed Sprout, Organic Pumpkin Seed Sprout, Organic Sesame Seed Sprout, Organic Guar Gum, Organic Carob Bean GumRAW PROBIOTIC & ENZYME BLEND: Lipase, Protease, Aspergillopepsin, beta-Glucanase, Cellulase, Bromelain, Phytase, Lactase, Papain, Peptidase, Pectinase, Hemicellulase, Xylanase [Lactobacillus acidophilus, Lactobacillus plantarum, Lactobacillus bulgaricus], ['3 Billion CFU']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1243,297,59.4,6.75,0.0,5.4,0,,2,4.7,7.97,Plant-based
Iso JYM Clear Isolate Whey Protein,JYM Supplement Science,"Whey Protein Isolate, Natural Flavor, Malic Acid, Sucralose, Polysorbate 80 and/or Sunflower Lecithin, ['Emulsifier'], Silicone, ['Antifoaming Agent']","vegetarian, soy free, gluten free, WPI, whey",1431,342,76.0,0.0,0.0,7.6,0,,0,6.26,8.24,Animal-based
Plant Protein with Raw Protein Blend,plnt,"Multi Source Plant Protein Blend, ['Pea Protein Isolate', 'Cranberry Seed Protein', 'Chia Seed', 'Sacha inchi Seed Protein'], Inulin, Natural Flavors, Silicon Dioxide, SteviaLeaf Extract, Digestive Enzyme Blend, ['Alpha-Galactosidase', 'Bromelain'], Glycine","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1506,360,68.4,9.0,0.0,14.4,"{'all': 0, '-': None, '< 1 g': None}",,4,5.63,8.28,Plant-based
Vegan Protein Powder,Natreve,"Plant Protein Blend, ['Organic Pea Protein', ['Organic Pumpkin', ['Cucurbita']], 'Seed Protein', 'Organic Brown Rice Protein'], Natural Flavor, Organic Coconut Powder, Salt, Stevia Leaf Extract, Gum Blend, ['Guar Gum', 'Gum Acacia', 'Xanthan Gum'], Flaxseed Powder, Organic Amaranth Powder, Organic Quinoa Powder, Organic Chia Seed Powder, Organic Kale Leaf Powder, Organic Broccoli Powder, Organic Spinach Leaf Powder, Probiotic Blend, ['Lactobacillus paracasei', 'Lactobacillus acidophilus', 'Streptococcus thermophiles', 'Lactobacillus bulgaricus', 'Bifidobacterium bifidum', 'Bifidobacterium longum']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1523,364,65.0,0.0,0.0,10.4,0,,3,5.43,8.35,Plant-based
Diet Whey Complex Extreme,ProteinWorks,"Protein Blend [Whey Protein Concentrate, ['Milk'], Soy Protein], Skimmed Milk Powder, Inulin, Flavouring, Golden Flaxseed, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose'], Digezyme®, ['Protease', 'Amylase', 'Lactase', 'Lipase', 'Cellulase'], N-Acetyl L-Carnitine, Green Tea Extract","vegetarian, gluten free, WPC, whey",1587,379,70.0,4.3,2.5,14.0,11,5.6,0.89,6.04,8.63,Animal-based
Pudd'n Decadent Protein Pudding Mix,Core Nutritionals,"Micellar Casein, ['11.11g yielding 10g'], Cold-Processed Undenatured Whey Protein Concentrate, ['6.25g yielding 5g'], Coconut Oil Creamer, Milk Protein Isolate, ['5.55g yielding 5g'], White Mini Marshmallow, ['corn syrup', 'modified cornstarch', 'sugar', 'terasoium pyrophosphate'], Natural & Artificial Flavors, Xanthan Gum, Sucralose, Sunflower Lecithin, DigeSEB™, ['Digestive Enzyme Blend: Amylases', 'Lactase', 'Proteases', 'Lipase', 'Cellulase']","vegetarian, soy free, gluten free, WPC, whey",1699,406,58.0,0.0,0.0,17.4,5.8,,0,5.03,8.67,Animal-based
GOLD STANDARD 100% CASEIN Premium Micellar Casein Protein,Optimum Nutrition,"Micellar Casein, Natural and Artificial Flavors, Inulin, Salt, Gum Blend, ['Cellulose Gum', 'Xanthan Gum', 'Carrageenan'], Lecithin, Sucralose, Aminogen, FD&C Yellow nr5","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1205,288,57.6,1.2,0.0,7.2,2.4,,1,4.95,8.68,Animal-based
SPORT Certified Grass Fed Whey Protein Powder,Garden of Life,"Truly Grass Fed PRrtein Blend, ['Whey Protein Isolate 85%', 'Milk Proteins 15%'], Organic Tapioca Fiber, ['IMO'], Organic Vanilla Flavors, Organic Gum Acacia, Organic Erythritol, Sea Salt, Sunflower Lecithin, Organic Stevia Extract, ['leaf'], 2 Billion CFU Bifidobacterium lactis BI-04","vegetarian, soy free, gluten free, WPI, whey",1456,348,69.6,0.0,0.0,17.4,0,,1,6.2,8.99,Animal-based
Performance Plant Based Vegan Protein,Form Nutrition,"Organic Pea, ['Seed'], Protein Isolate, Natural Flavor, Brown Rice, ['Grain'], Protein, Hemp, ['Seed'], Protein, Sea Salt, Stevia Rebaudiosides A, Thaumatin","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1506,360,72.0,7.2,0.0,4.8,0,,2,6.84,9.5,Plant-based
Planta Plant Protein,Ambrosia Collective,"Organic Pea Protein, Organic Brown Rice Protein, Vegetable Gum, Annotto Extract, Organic Maltodextrin, Citric Acid, Turmeric, ['color'], Salt, Semolina**, Organic Coconut Sugar, ['in sprinkle'], Gum Blend:, ['Xanthan Gum', 'Gum Acacia', 'Guar Gum'], Natural Cupcake Flavor, Sunflower Lecithin, Sucralose, Lohan Gua, ['fruit'], Extract. **Sprinkle Cupcake contains a trace amount of gluten from Semolina used in our natural sprinkles","vegetarian, dairy free, lactose free, vegan, soy free",1381,330,60.0,0.0,0.0,6.0,3,,1,5.88,9.8,Plant-based
Planta Plant Protein,Ambrosia Collective,"Organic Pea Protein, Organic Rice Protein, Peanut Flour, Natural Peanut Butter Banana Flavor, Organic Coconut Sugar, DiCalcium Malate, Gum Blend:, ['Xanthan Gum', 'Gum Acacia', 'Guar Gum'], Monk Fruit Extract, Sunflower Lecithin, Sucralose, Iron Bisglycinate Chelate","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1381,330,60.0,0.0,0.0,6.0,3,,1,5.95,9.92,Plant-based
Upgrade Multi-Protein - BBE 31/08/2023,ProteinWorks,"Protein Blend [Pea Protein, Whey Protein Concentrate, ['Milk'], Soy Protein Isolate], Skimmed Milk Powder, Creamer, ['High Oleic Sunflower Oil', 'Glucose Syrup', 'Modified Starch'], Flavourings, Thickeners, ['Guar Gum', 'Xanthan Gum'], Salt, Colour, ['Curcumin'], Sweetener, ['Sucralose']","vegetarian, gluten free, WPC, whey",1601,381,72.0,4.6,1.7,13.0,6.2,2.2,2,7.15,9.93,Mixed
Vegan Plant Based Protein,Onnit Labs,"Pea Protein Concentrate, Pumpkin Seed Protein, ['as Smooth Protein'], Sunflower Seed Protein, ['as Smooth Protein'], Natural Flavors, Watermelon Seed Protein, ['as Smooth Protein'], Avacado Powder 75% on Tapioca, ['DE'], Leucine, Purified Sea Salt, Steviol Glycosides, Luo Han Guo Fruit Extract","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1046,250,50.0,2.5,0.0,7.5,0,,3,5.17,10.34,Plant-based
Organic Plant Based Protein Powder,Truvani,"Organic Pea Protein Concentrate, Organic Vanilla Powder, Organic Pumpkin Seed Concentrate, Organic Monk Fruit Extract, Organic Chia Seed Protein Concentrate","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1577,377,58.0,0.0,0.0,14.5,0,,2,6.09,10.5,Plant-based
Organic Pure Whey Protein™,Bulk,"Organic Whey Protein Concentrate, ['Milk']","vegetarian, soy free, gluten free, WPC, whey",1554,367,77.0,5.0,0.3,3.5,3.5,0,0.51,8.4,10.91,Animal-based
Egg White Protein 80,ProteinWorks,100% Egg White Powder,"vegetarian, soy free, gluten free",1456,342,77.0,,,8.1,,,0.07,8.72,11.32,Animal-based
Organic Master Blend Plant Based Protein For Optimal Health and Recovery,Om Organic Mushrooms,"Organic High Oleic Sunflower Oil Powder, ['Organic Sunflower Oil High Oleic', 'Organic Gum Arabic'], Organic Dutch Cocoa Powder, ['alkalized'], Organic Natural Flavors with Other Natural Flavors, Organic Sunflower Lecithin, Organic Guar Gum, Sea Salt, Organic Stevia Leaf Extract, Organic Myceliated Oats","vegetarian, dairy free, lactose free, vegan, soy free",1741,416,55.9,2.6,0.0,15.6,0,,2,6.43,11.69,Plant-based
Clear Diet Whey Protein,ProteinWorks,"Whey Protein Isolate, ['Milk'], Citric Acid, Flavouring, Emulsifier, ['Monosodium Phosphate'], Acetyl L Carnitine, Colour, ['Beetroot Powder', 'Curcumin'], Green Tea Extract, Sweetener, ['Sucralose'], Vitamin & Mineral Blend, [['Vitamin B5', ['Calcium D-Pantothenate']], ['Vitamin B6', ['Pyridoxine Hydrochloride']], 'Chromium Picolinate', ['Vitamin B12', ['Methylcobalamin']]]","vegetarian, soy free, gluten free, WPI, whey",1372,328,80.0,0.1,0.1,2.4,0.2,0.2,1.1,9.54,11.92,Animal-based
Keto Friendly Plant Based Collagen with Hyaluronic Acid and Biotin,SunWarrior,"Proprietary Beauty Blend, ['Organic Fermented Pea Protein', 'Organic Fermented Brown Rice Peptides', 'Organic Sea Buckthorn Berry', 'Organic Tremella Mushroom Extract', 'Organic Kale Leaf', 'Organic Spinach Leaf', 'Vitamin C from Organic Amla Fruit Extract', 'Hyaluronic Acid', 'Silica from Bamboo Leaf or Stem Extract', 'Organic Whole Spirulina', 'Biotin from Organic Holy Basil Leaf Extract and Organic Sunflower Seed Extract'], Organic Vanilla Flavor, Organic Guar Gum from Seed, Sea Salt, Organic Stevia Leaf Extract, ['Steviol Glycosides'], Medium-chain Triglycerides Oil from Coconut Oil and Acacia Fiber, Marine Algae","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1272,304,53.2,3.8,0.0,22.8,0,,3,7.15,13.49,Plant-based
Colostrum,Bulk,"Colostrum, ['Milk']","vegetarian, halal, soy free, gluten free",1563,374,80.0,2.0,1.0,9.0,9,0,0.1,27.6,34.5,Unknown
