product_name,brand,ingredients,product_tags,energy_kj,energy_kcal,protein,fat_total,fat_saturated,carbs_total,carbs_sugar,fiber,salt,price_per_100g,price_per_100g_protein,protein_type
Impact Vegan Protein,Myprotein,"Protein blend, ['Pea Protein Isolate', 'Fava Bean Isolate'], ​","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1532,366,71.0,2.5,0.5,11.0,0.1,4.5,0.67,2.78,3.92,Plant-based
Complete Protein Blend™,Bulk,"Protein Blend, [['Whey Protein Concentrate', ['Milk']], 'Milk Protein Concentrate', 'Egg White Powder'], Glutamine Peptides, ['Wheat'], Cocoa Powder, Flavour, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose'], Instantising Agent, ['Soya Lecithin']","vegetarian, halal, WPC, whey",1543,364,78.0,4.4,2.1,3.0,2.8,0.4,0.67,3.1,3.97,Animal-based
Hemp Protein Powder,Bulk,Hemp Protein Powder,"vegetarian, vegan, halal, dairy free, lactose free, soy free, gluten free",1467,351,50.0,9.2,1.1,5.0,4.4,24,0.01,2.0,4.0,Plant-based
Vegan Protein Powder,Bulk,"V+TM Protein Blend, ['Pea Protein Isolate', 'Brown Rice Protein', 'Pumpkin Seed Protein', 'Flaxseed Powder', 'Quinoa Flour'], Emulsifier, ['Sunflower Lecithin'], Stabiliser, ['Xanthan Gum'], DigeZyme® Enzyme Complex, ['Amylase', 'Protease', 'Cellulase', 'Lactase', 'Lipase']","GMO free, vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1582,375,72.0,6.0,1.5,5.5,0.6,5.3,1.68,2.94,4.08,Plant-based
Diet Whey Protein Powder,PhD Nutrition,"PhD Premium Protein Blend, ['Whey* Protein Concentrate', ['Milk Protein Concentrate', ['Of Which 80% Is Micellar Casein']], 'Soya Protein Isolate'], Waxy Barley Flour, Golden Brown Flaxseed Powder, Thickeners, ['Acacia Gum', 'Guar Gum', 'Xanthan Gum'], Flavouring, Reduced Fat Cocoa Powder {Salted Caramel Flavour Only} Conjugated Linoleic Acid Powder [Safflower Oil, ['Rich in Conjugated Linoeic Acid'], Glucose Syrup, Milk Protein, Emulsifier, ['Soya Lecithin'], Vitamin E], L-Carnitine, Colour, ['Beetroot Red {Strawberry Delight', 'Cherry Bakewell and Raspberry & White Chocolate Flavours Only}', ['Curcumin', ['Banana Flavour Only']], 'Green Tea Extract', ['Salt {White Chocolate Deluxe Flavour and Salted Caramel Flavours Only} Sweetener', ['Sucralose']]]","GMO free, halal, palm oil free, vegetarian, gluten free",1528,365,68.0,5.5,1.6,11.0,5,3,0.63,2.78,4.09,Animal-based
Total Protein Blend,Myprotein,"Protein Blend, [['Whey Protein Concentrate', ['Milk', 'Soy Lecithin']], ['Whey Protein Isolate', ['Milk', 'Soy Lecithin']], ['Hydrolysed Whey Protein', ['Milk']], 'Milk Protein Concentrate', ['Micellar Casein', ['Milk']], ['Calcium-Caseinate', ['Milk', ['Acid Casein', ['Milk']], 'Calcium-Hydroxide', 'Sodium-Carbonate']], 'Free range Egg White Powder'], Thickening Agent, ['Xanthan Gum']","vegetarian, gluten free, WPC, WPI, whey",1615,386,81.0,4.9,1.6,4.4,3.1,1.1,0.33,3.37,4.16,Animal-based
Diet Plant Protein Powder,PhD Nutrition,"Pea Protein, Soya Protein, Flavouring, Fat Reduced Cocoa Powder, Conjugated Linoleic Acid, L-Carnitine, Green Tea Extract, Sodium chloride, Lactospore™, ['Bacillus Coagulans'], Stabiliser, ['Xanthan Gum'], Sweetener, ['Sucralose']","gluten free, GMO free, palm oil free, vegan, vegetarian, dairy free, lactose free",1564,370,72.0,3.7,0.6,9.0,0.4,5.4,0.7,3.02,4.19,Plant-based
Impact Whey Isolate Powder,Myprotein,"Whey Protein Isolate, ['Milk'], Soy Lecithin, Sunflower Lecithin","Informed Choice, vegetarian, gluten free, WPI, whey",1584,373,90.0,0.3,0.3,2.5,2.5,,0.5,3.81,4.23,Animal-based
GOLD STANDARD 100% WHEY Protein Powder,Optimum Nutrition,"Protein Blend, ['Whey Protein Isolate', 'Whey Protein Concentrate', 'Whey Peptides'], Cocoa Powder, ['Processed with Alkali'], Lecithin, Natural and Artificial Flavor, Acesulfame Potassium, Lactase","vegetarian, soy free, gluten free, WPC, WPI, whey",1556,372,74.4,1.55,0.0,9.3,3.1,,0,3.13,4.23,Animal-based
Protein Dessert,Bulk,"Milk Protein Concentrate, Whey Protein Concentrate, ['Milk'], Egg White Protein Powder, Gelling Agents, ['Tetrasodium Pyrophosphate', 'Disodium Phosphate'], Flavouring, Cocoa Powder, Sweetener, ['Sucralose']","vegetarian, halal, soy free, gluten free, WPC, whey",1568,370,75.0,3.8,1.5,8.5,4.2,1,2,3.2,4.27,Animal-based
MRE Lite Real Whole Food Meal Replacement,RedCon1,"Beef protein Isolate, ['bovine'], Salmon protein, ['fish'], Chicken protein, Egg Albumin, ['egg'], Brown Rice protein, Pea protein, Coconut water, ['coconut'], MCT Oil. Natural and artificial flavors, Cellulose gum, Ground cinnamon, Salt, Sucralose, Acesulfame-K. CONTAINS: Milk, Eggs, Fish, ['Salmon'], Coconut","soy free, gluten free",1510,361,64.8,0.0,0.0,10.8,5.4,,1,2.78,4.34,Mixed
MRE Lite Real Whole Food Meal Replacement Protein Powder Drink Mix,RedCon1,"Whole Food Protein Blend, ['Beef Protein Isolate', 'Salmon Protein', 'Chicken Protein', 'Egg Albumin', 'Brown Rice Protein', 'Pea Protein'], Natural and Artificial Flavors, Milk Creamer, ['for texture'], Cellulose Gum, Coconut Water Powder, Medium Chain Triglyceride, ['MCT'], Oil Powder, Maltodextrin, Salt, Sucralose, Acesulfame-k","soy free, gluten free",1577,377,69.6,0.0,0.0,11.6,0,,1,3.01,4.36,Mixed
Vegan Protein,ProteinWorks,"Protein Blend, ['Soy Protein Isolate', 'Pea Protein Isolate', 'Pumpkin Seed Protein', 'Sunflower Protein', 'Brown Rice Protein'], DigeZyme®, ['Amylase', 'Protease', 'Cellulase', 'Beta-D-Galactosidase', 'Lipase']","vegetarian, dairy free, lactose free, vegan, gluten free",1587,379,89.0,0.8,0.1,3.6,,0.3,2.5,3.92,4.4,Plant-based
100% Plant Protein Powder,PhD Nutrition,"Pea Protein Isolate, Soya Protein Isolate, Reduced Fat Cocoa Powder, Flavouring, Stabiliser, ['Xanthan Gum'], Sweetener, ['Sucralose'], Sodium Chloride","GMO free, halal, palm oil free, vegan, vegetarian, nut free, dairy free, lactose free, gluten free",1674,395,86.0,3.0,0.0,4.0,0.1,2,5,3.86,4.49,Plant-based
Smart Protein Plant,PhD Nutrition,"Pea Protein, Soya Protein, Fat Reduced Cocoa Powder, Natural Flavour, Lactospore™, ['Bacillus Coagulans'], Iron Oxide, Zinc Oxide, Vitamin B6, Folic Acid, Vitamin B12, Sodium Chloride, Stabiliser, ['Xanthan Gum'], Sweetener, ['Sucralose']","vegetarian, dairy free, lactose free, vegan, gluten free",1630,385,79.0,3.7,0.0,7.0,0.35,4.2,1.7,3.6,4.56,Plant-based
