price_per_100g,price_per_100g_protein,brand,protein_source,protein_type,protein_complexity,organic_true,gmofree_true
6.84,9.5,Form Nutrition,Plant-based,Plant Blend,Blend,True,False
5.88,9.8,Ambrosia Collective,Plant-based,Plant Blend,Blend,True,False
5.95,9.92,Ambrosia Collective,Plant-based,Plant Blend,Blend,True,False
7.15,9.93,ProteinWorks,Mixed,"Whey, Soy, Pea",Blend,False,False
5.17,10.34,Onnit Labs,Plant-based,Plant Blend,Blend,False,False
6.09,10.5,Truvani,Plant-based,Plant Blend,Blend,True,False
8.4,10.91,Bulk,Animal-based,Whey,Single source,True,False
8.72,11.32,ProteinWorks,Animal-based,Egg,Single source,False,False
6.43,11.69,Om Organic Mushrooms,Plant-based,Plant Blend,Blend,True,False
9.54,11.92,ProteinWorks,Animal-based,Whey,Single source,False,False
7.15,13.49,SunWarrior,Plant-based,Plant Blend,Blend,True,False
27.6,34.5,Bulk,Animal-based,Milk,Single source,False,False
